txn_id,timestamp,feature,merchant,instrument,amount_inr,status,customer_id,description
AP00000001,2026-05-04T11:37:03Z,Buy Now Pay Later,Vodafone,AMAZON_PAY_WALLET,6512.18,REFUNDED,CUST175954,Amazon Pay - Buy Now Pay Later via Vodafone
AP00000002,2026-01-08T02:35:27Z,UPI Payments,Jio,AMAZON_PAY_WALLET,868.53,SUCCESS,CUST538485,Amazon Pay - UPI Payments via Jio
AP00000003,2026-05-02T18:37:25Z,Recurring Payments,Bookmyshow,EMI,9474.08,SUCCESS,CUST761259,Amazon Pay - Recurring Payments via Bookmyshow
AP00000004,2026-03-14T04:34:07Z,Amazon Pay Wallet,Bookmyshow,AMAZON_PAY_WALLET,5570.53,SUCCESS,CUST239643,Amazon Pay - Amazon Pay Wallet via Bookmyshow
AP00000005,2026-01-19T18:40:12Z,Send Money to Contacts,Domino's,CARD_TOKEN,8162.29,REVERSED,CUST289505,Amazon Pay - Send Money to Contacts via Domino's
AP00000006,2026-01-20T06:31:43Z,Bill Payments,Tata Power,AMAZON_PAY_UPI,7123.27,REVERSED,CUST691783,Amazon Pay - Bill Payments via Tata Power
AP00000007,2026-03-10T07:50:11Z,Mobile Recharge,MakeMyTrip,NETBANKING,4660.9,FAILED,CUST575198,Amazon Pay - Mobile Recharge via MakeMyTrip
AP00000008,2026-03-24T14:18:38Z,DTH Recharge,Cleartrip,AMAZON_PAY_UPI,3009.19,REVERSED,CUST619167,Amazon Pay - DTH Recharge via Cleartrip
AP00000009,2026-03-05T15:26:02Z,Insurance Premium Payments,Zomato,AMAZON_PAY_UPI,4186.63,REVERSED,CUST893919,Amazon Pay - Insurance Premium Payments via Zomato
AP00000010,2026-03-11T22:22:38Z,Credit Card Bill Payments,Zomato,EMI,7892.26,REVERSED,CUST958105,Amazon Pay - Credit Card Bill Payments via Zomato
AP00000011,2026-03-16T22:42:04Z,EMI Auto-Debit,Airtel,EMI,696.87,REFUNDED,CUST198142,Amazon Pay - EMI Auto-Debit via Airtel
AP00000012,2026-04-10T22:24:56Z,Rewards & Cashback,Bookmyshow,CARD_TOKEN,9930.04,REVERSED,CUST961850,Amazon Pay - Rewards & Cashback via Bookmyshow
AP00000013,2026-01-16T01:13:49Z,Coupons & Promo Codes,Tata Power,AMAZON_PAY_UPI,3560.73,REFUNDED,CUST740595,Amazon Pay - Coupons & Promo Codes via Tata Power
AP00000014,2026-01-06T14:25:35Z,Gift Cards,RedBus,AMAZON_PAY_WALLET,3984.6,PENDING,CUST620625,Amazon Pay - Gift Cards via RedBus
AP00000015,2026-04-12T21:56:24Z,Merchant Settlements,Indigo,AMAZON_PAY_WALLET,8640.34,REFUNDED,CUST391945,Amazon Pay - Merchant Settlements via Indigo
AP00000016,2026-02-01T15:53:37Z,Refund Processing,Cleartrip,AMAZON_PAY_WALLET,1770.24,SUCCESS,CUST343224,Amazon Pay - Refund Processing via Cleartrip
AP00000017,2026-05-12T19:36:20Z,Transaction History,BigBasket,CARD_TOKEN,50.89,FAILED,CUST539297,Amazon Pay - Transaction History via BigBasket
AP00000018,2026-01-15T21:51:35Z,KYC Verification,Uber,EMI,6552.46,REVERSED,CUST875720,Amazon Pay - KYC Verification via Uber
AP00000019,2026-04-02T06:04:13Z,Fraud Detection,Bescom,NETBANKING,3946.86,REFUNDED,CUST604913,Amazon Pay - Fraud Detection via Bescom
AP00000020,2026-01-01T18:09:34Z,PIN & Biometric Authentication,ACT Fibernet,AMAZON_PAY_WALLET,3406.8,SUCCESS,CUST155129,Amazon Pay - PIN & Biometric Authentication via ACT Fibernet
AP00000021,2026-05-13T04:40:16Z,Strong Customer Authentication,Tata 1mg,CARD_TOKEN,264.73,REVERSED,CUST318054,Amazon Pay - Strong Customer Authentication via Tata 1mg
AP00000022,2026-04-15T15:30:19Z,Multi-Currency Support,Tata Power,EMI,4746.3,FAILED,CUST220956,Amazon Pay - Multi-Currency Support via Tata Power
AP00000023,2026-03-16T22:10:33Z,Cross-Border Payments,Zomato,AMAZON_PAY_WALLET,7498.49,SUCCESS,CUST876314,Amazon Pay - Cross-Border Payments via Zomato
AP00000024,2026-05-01T16:19:41Z,QR Code Payments,Swiggy,AMAZON_PAY_WALLET,3623.55,REVERSED,CUST823588,Amazon Pay - QR Code Payments via Swiggy
AP00000025,2026-03-25T07:34:34Z,NFC Tap-to-Pay,Zomato,CARD_TOKEN,3672.96,REVERSED,CUST275156,Amazon Pay - NFC Tap-to-Pay via Zomato
AP00000026,2026-02-26T07:52:25Z,Voice Payments,Jio,CARD_TOKEN,6135.54,PENDING,CUST926696,Amazon Pay - Voice Payments via Jio
AP00000027,2026-01-01T08:30:16Z,Smart Connect Express Checkout,Cleartrip,AMAZON_PAY_WALLET,4932.4,REVERSED,CUST866513,Amazon Pay - Smart Connect Express Checkout via Cleartrip
AP00000028,2026-03-12T02:14:06Z,Saved Payment Instruments,Practo,EMI,4477.36,FAILED,CUST858254,Amazon Pay - Saved Payment Instruments via Practo
AP00000029,2026-05-20T00:30:58Z,Shipping Address Book,Cleartrip,NETBANKING,3383.66,PENDING,CUST606098,Amazon Pay - Shipping Address Book via Cleartrip
AP00000030,2026-02-16T05:27:50Z,Order Tracking Integration,Tata Power,AMAZON_PAY_UPI,9097.76,SUCCESS,CUST920304,Amazon Pay - Order Tracking Integration via Tata Power
AP00000031,2026-01-24T05:10:08Z,Loyalty Program Integration,Vodafone,AMAZON_PAY_UPI,4636.51,REFUNDED,CUST879461,Amazon Pay - Loyalty Program Integration via Vodafone
AP00000032,2026-02-20T19:30:42Z,Charity Donations,Swiggy,AMAZON_PAY_WALLET,9048.57,REVERSED,CUST945678,Amazon Pay - Charity Donations via Swiggy
AP00000033,2026-01-26T23:41:06Z,Tax Invoice Download,Tata Power,AMAZON_PAY_WALLET,5486.82,REVERSED,CUST122436,Amazon Pay - Tax Invoice Download via Tata Power
AP00000034,2026-02-01T08:13:18Z,Customer Support Chat,Jio,AMAZON_PAY_WALLET,9864.64,REFUNDED,CUST304268,Amazon Pay - Customer Support Chat via Jio
AP00000035,2026-04-27T04:03:58Z,Dispute Resolution,Jio,AMAZON_PAY_WALLET,3266.31,REVERSED,CUST670795,Amazon Pay - Dispute Resolution via Jio
AP00000036,2026-04-27T16:08:34Z,Subscription AutoPay,Tata Power,NETBANKING,8151.5,REVERSED,CUST641863,Amazon Pay - Subscription AutoPay via Tata Power
AP00000037,2026-02-20T00:49:51Z,Split Bills,Uber,EMI,196.84,REVERSED,CUST561504,Amazon Pay - Split Bills via Uber
AP00000038,2026-01-18T01:20:43Z,Invoice / Request Money,Uber,AMAZON_PAY_WALLET,4739.72,PENDING,CUST860420,Amazon Pay - Invoice / Request Money via Uber
AP00000039,2026-01-18T01:15:12Z,Merchant Onboarding,Jio,EMI,4829.56,REVERSED,CUST914208,Amazon Pay - Merchant Onboarding via Jio
AP00000040,2026-01-25T02:28:20Z,Risk-Based Step-Up,Indigo,AMAZON_PAY_UPI,5081.56,SUCCESS,CUST689015,Amazon Pay - Risk-Based Step-Up via Indigo
AP00000041,2026-03-15T16:34:51Z,Device Binding,EatSure,EMI,5125.98,REVERSED,CUST826381,Amazon Pay - Device Binding via EatSure
AP00000042,2026-05-07T14:08:26Z,Velocity Controls,Airtel,EMI,6994.49,PENDING,CUST372202,Amazon Pay - Velocity Controls via Airtel
AP00000043,2026-02-14T02:13:42Z,Refund SLA Tracking,Tata 1mg,NETBANKING,3166.32,REFUNDED,CUST803757,Amazon Pay - Refund SLA Tracking via Tata 1mg
AP00000044,2026-03-05T08:56:08Z,Reconciliation Reports,RedBus,AMAZON_PAY_UPI,9394.71,PENDING,CUST774714,Amazon Pay - Reconciliation Reports via RedBus
AP00000045,2026-02-22T07:10:45Z,Webhooks & Events,ACT Fibernet,AMAZON_PAY_WALLET,3988.19,SUCCESS,CUST610929,Amazon Pay - Webhooks & Events via ACT Fibernet
AP00000046,2026-03-11T02:46:23Z,API Rate Limits,BWSSB,EMI,3397.43,REFUNDED,CUST305253,Amazon Pay - API Rate Limits via BWSSB
AP00000047,2026-01-13T10:33:39Z,Sandbox Environment,Swiggy,CARD_TOKEN,4591.66,REVERSED,CUST837307,Amazon Pay - Sandbox Environment via Swiggy
AP00000048,2026-02-04T02:16:17Z,Compliance Reporting,RedBus,EMI,1137.26,SUCCESS,CUST926658,Amazon Pay - Compliance Reporting via RedBus
AP00000049,2026-04-28T21:52:16Z,PCI-DSS Tokenization,Bookmyshow,AMAZON_PAY_WALLET,7559.45,FAILED,CUST959598,Amazon Pay - PCI-DSS Tokenization via Bookmyshow
AP00000050,2026-04-23T10:05:17Z,One-Click Checkout,Bescom,AMAZON_PAY_WALLET,9191.6,REVERSED,CUST698312,Amazon Pay - One-Click Checkout via Bescom
AP00000051,2026-01-21T02:51:16Z,Buy Now Pay Later,Bookmyshow,AMAZON_PAY_WALLET,8953.0,REFUNDED,CUST381986,Amazon Pay - Buy Now Pay Later via Bookmyshow
AP00000052,2026-04-01T10:35:26Z,UPI Payments,Zomato,EMI,675.49,PENDING,CUST227588,Amazon Pay - UPI Payments via Zomato
AP00000053,2026-02-04T05:16:03Z,Recurring Payments,Indigo,EMI,441.58,PENDING,CUST844003,Amazon Pay - Recurring Payments via Indigo
AP00000054,2026-02-10T14:32:43Z,Amazon Pay Wallet,BigBasket,AMAZON_PAY_WALLET,6289.8,FAILED,CUST656883,Amazon Pay - Amazon Pay Wallet via BigBasket
AP00000055,2026-01-01T00:46:32Z,Send Money to Contacts,BigBasket,CARD_TOKEN,8037.95,FAILED,CUST362614,Amazon Pay - Send Money to Contacts via BigBasket
AP00000056,2026-01-22T20:27:42Z,Bill Payments,MakeMyTrip,AMAZON_PAY_WALLET,4752.38,REVERSED,CUST568771,Amazon Pay - Bill Payments via MakeMyTrip
AP00000057,2026-02-08T10:12:53Z,Mobile Recharge,Airtel,EMI,9702.45,REFUNDED,CUST422733,Amazon Pay - Mobile Recharge via Airtel
AP00000058,2026-02-01T02:40:47Z,DTH Recharge,Uber,NETBANKING,9818.02,FAILED,CUST977645,Amazon Pay - DTH Recharge via Uber
AP00000059,2026-04-28T16:42:18Z,Insurance Premium Payments,Indigo,NETBANKING,563.4,PENDING,CUST797541,Amazon Pay - Insurance Premium Payments via Indigo
AP00000060,2026-02-09T14:00:16Z,Credit Card Bill Payments,EatSure,AMAZON_PAY_WALLET,461.88,FAILED,CUST294355,Amazon Pay - Credit Card Bill Payments via EatSure
AP00000061,2026-03-07T11:11:00Z,EMI Auto-Debit,Tata Power,CARD_TOKEN,3241.78,REVERSED,CUST136120,Amazon Pay - EMI Auto-Debit via Tata Power
AP00000062,2026-02-08T16:49:00Z,Rewards & Cashback,Vodafone,NETBANKING,4751.22,SUCCESS,CUST627186,Amazon Pay - Rewards & Cashback via Vodafone
AP00000063,2026-01-13T00:19:19Z,Coupons & Promo Codes,Zomato,CARD_TOKEN,1447.07,SUCCESS,CUST715305,Amazon Pay - Coupons & Promo Codes via Zomato
AP00000064,2026-02-22T22:50:56Z,Gift Cards,Cleartrip,AMAZON_PAY_UPI,9575.84,REVERSED,CUST994694,Amazon Pay - Gift Cards via Cleartrip
